,crypto,total_return,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
490,OP-USD,-0.6563755440658104,2022-03-13,2024-08-06,877,100.0,34.362445593418954,-65.63755440658105,139920.4670416422,100.0,0.0,75.08139300994914,150.0,1,0,1,-65.63755440658105,,,,,,,,,,,,,
252,FXS-USD,-0.6567249185214484,2021-12-31,2024-08-06,949,100.0,34.327508147855156,-65.67249185214484,-95.12600242687522,100.0,0.0,67.97508689560948,108.0,1,0,1,-65.67249185214484,,,,,,,,,,,,,
416,METIS-USD,-0.6584520203480903,2021-12-31,2024-08-06,949,100.0,34.15479796519098,-65.84520203480902,-85.29115922745537,100.0,0.0,79.36685509708435,148.0,1,0,1,-65.84520203480902,,,,,,,,,,,,,
701,VEMP-USD,-0.6587825743912464,2021-12-31,2024-08-06,949,100.0,34.12174256087536,-65.87825743912464,-98.64677291558873,100.0,0.0,82.97369851043386,146.0,1,0,1,-65.87825743912464,,,,,,,,,,,,,
291,HIBEANZ-USD,-0.6619350724183221,2023-03-02,2024-08-06,523,100.0,33.80649275816779,-66.19350724183221,-98.72454052728382,100.0,0.0,66.19350724183221,213.0,1,0,1,-66.19350724183221,,,,,,,,,,,,,
483,OMG-USD,-0.664135092347179,2021-12-31,2024-08-06,949,100.0,33.58649076528209,-66.4135092347179,-96.24867186201142,100.0,0.0,84.33401499582195,146.0,1,0,1,-66.4135092347179,,,,,,,,,,,,,
363,LBP-USD,-0.6642358664200841,2022-03-07,2024-08-06,883,100.0,33.57641335799158,-66.42358664200842,-98.38912699237143,100.0,0.0,89.66745773170047,153.0,1,0,1,-66.42358664200842,,,,,,,,,,,,,
40,APE-USD,-0.665525558857289,2021-12-31,2024-08-06,949,100.0,33.44744411427109,-66.5525558857289,1637.341588290712,100.0,0.0,92.83337063552143,146.0,1,0,1,-66.5525558857289,,,,,,,,,,,,,
539,PYR-USD,-0.6681868346295259,2021-12-31,2024-08-06,949,100.0,33.18131653704741,-66.81868346295259,-84.16798153321862,100.0,0.0,76.63715449843397,150.0,1,0,1,-66.81868346295259,,,,,,,,,,,,,
72,BAX-USD,-0.6684867462916074,2021-12-31,2024-08-06,949,100.0,33.15132537083926,-66.84867462916074,-89.46394554117597,100.0,0.0,75.5905527825432,146.0,1,0,1,-66.84867462916074,,,,,,,,,,,,,
662,TRB-USD,-0.6688187829325892,2021-12-31,2024-08-06,949,100.0,33.11812170674108,-66.88187829325892,61.51658780092595,100.0,0.0,73.17409328302884,217.0,1,0,1,-66.88187829325892,,,,,,,,,,,,,
452,NEER-USD,-0.6697435118671048,2022-08-29,2024-08-06,708,100.0,33.02564881328952,-66.97435118671048,-93.78222864200187,100.0,0.0,72.85925663331926,76.0,1,0,1,-66.97435118671048,,,,,,,,,,,,,
311,ICE-USD,-0.6699481997588113,2021-12-31,2024-08-06,949,100.0,33.00518002411887,-66.99481997588113,-99.98724531358391,100.0,0.0,90.7232703287282,199.0,1,0,1,-66.99481997588113,,,,,,,,,,,,,
212,EQX-USD,-0.67052407839384,2021-12-31,2024-08-06,949,100.0,32.947592160616,-67.052407839384,-99.22155997588297,100.0,0.0,82.78908495522413,149.0,1,0,1,-67.052407839384,,,,,,,,,,,,,
53,ASTR-USD,-0.6713080711577115,2022-01-17,2024-08-06,932,100.0,32.86919288422885,-67.13080711577115,-69.99402120276774,100.0,0.0,72.2530838939131,176.0,1,0,1,-67.13080711577115,,,,,,,,,,,,,
403,MARS4-USD,-0.6730747792150573,2021-12-31,2024-08-06,949,100.0,32.692522078494264,-67.30747792150574,-97.25354015373478,100.0,0.0,77.16490323378811,146.0,1,0,1,-67.30747792150574,,,,,,,,,,,,,
417,MINA-USD,-0.6762185595962513,2021-12-31,2024-08-06,949,100.0,32.37814404037486,-67.62185595962514,-89.38900043216626,100.0,0.0,76.54696796642779,148.0,1,0,1,-67.62185595962514,,,,,,,,,,,,,
85,BIGTIME-USD,-0.677684301276514,2023-10-10,2024-08-06,301,100.0,32.2315698723486,-67.7684301276514,-47.04782995726402,100.0,0.0,72.56727679806978,64.0,1,0,1,-67.7684301276514,,,,,,,,,,,,,
731,WOO-USD,-0.6782229353213279,2021-12-31,2024-08-06,949,100.0,32.17770646786721,-67.82229353213279,-85.47832474001534,100.0,0.0,78.68032585602617,152.0,1,0,1,-67.82229353213279,,,,,,,,,,,,,
538,PUSH-USD,-0.681897501105898,2021-12-31,2024-08-06,949,100.0,31.8102498894102,-68.1897501105898,-97.00660341671869,100.0,0.0,79.12129919366205,155.0,1,0,1,-68.1897501105898,,,,,,,,,,,,,
742,XCV-USD,-0.6819032258153453,2021-12-31,2024-08-06,949,100.0,31.80967741846547,-68.19032258153453,-99.69666750330452,100.0,0.0,90.56990527830703,136.0,1,0,1,-68.19032258153453,,,,,,,,,,,,,
145,CSIX-USD,-0.6822047665171107,2023-02-17,2024-08-06,536,100.0,31.779523348288933,-68.22047665171107,-92.02147356518279,100.0,0.0,82.7475495174975,148.0,1,0,1,-68.22047665171107,,,,,,,,,,,,,
737,XAVA-USD,-0.6824236986193966,2021-12-31,2024-08-06,949,100.0,31.75763013806035,-68.24236986193965,-96.23168438766369,100.0,0.0,81.4467597994263,146.0,1,0,1,-68.24236986193965,,,,,,,,,,,,,
