,Symbol,Date,Close,rf_pb_15P_30d,all_buy_signal,final_buy_signal,sell_signal
25229,LTC-USD,2022-01-09,126.83382415771484,0.0,0,0,0
25230,LTC-USD,2022-01-10,131.54498291015625,0.0,0,0,0
25231,LTC-USD,2022-01-11,141.73719787597656,0.0,0,0,0
25232,LTC-USD,2022-01-12,136.6365203857422,0.0,0,0,0
25233,LTC-USD,2022-01-13,144.72491455078125,0.0,0,0,0
25234,LTC-USD,2022-01-14,147.93740844726562,0.0,0,0,0
25235,LTC-USD,2022-01-15,146.533203125,0.0,0,0,0
25236,LTC-USD,2022-01-16,151.66726684570312,0.0,0,0,0
25237,LTC-USD,2022-01-17,141.89076232910156,0.0,0,0,0
25238,LTC-USD,2022-01-18,136.9167022705078,0.0,0,0,0
25239,LTC-USD,2022-01-19,130.36500549316406,0.0,0,0,0
25240,LTC-USD,2022-01-20,114.3918685913086,0.0,0,0,0
25241,LTC-USD,2022-01-21,108.42849731445312,0.0,0,0,0
25242,LTC-USD,2022-01-22,112.08950805664062,0.0,0,0,0
25243,LTC-USD,2022-01-23,109.59159851074219,0.0,0,0,0
25244,LTC-USD,2022-01-24,108.06637573242188,0.0,0,0,0
25245,LTC-USD,2022-01-25,107.28218078613281,0.0,0,0,0
25246,LTC-USD,2022-01-26,106.9535140991211,0.0,0,0,0
25247,LTC-USD,2022-01-27,109.43273162841797,0.0,0,0,0
25248,LTC-USD,2022-01-28,110.82367706298828,0.0,0,0,0
25249,LTC-USD,2022-01-29,108.79985809326172,0.0,0,0,0
25250,LTC-USD,2022-01-30,109.58769989013672,0.0,0,0,0
25251,LTC-USD,2022-01-31,115.4020004272461,0.0,0,0,0
25252,LTC-USD,2022-02-01,108.55602264404297,0.0,0,0,0
25253,LTC-USD,2022-02-02,110.28700256347656,0.0,0,0,0
25254,LTC-USD,2022-02-03,120.91803741455078,0.0,0,0,0
25255,LTC-USD,2022-02-04,121.91674041748047,0.0,0,0,0
25256,LTC-USD,2022-02-05,127.44550323486328,0.0,0,0,0
25257,LTC-USD,2022-02-06,137.10739135742188,0.0,0,0,0
25258,LTC-USD,2022-02-07,133.99124145507812,0.0,0,0,0
25259,LTC-USD,2022-02-08,140.17160034179688,0.0,0,0,0
25260,LTC-USD,2022-02-09,135.08839416503906,0.0,0,0,0
25261,LTC-USD,2022-02-10,126.03115844726562,0.0,0,0,0
25262,LTC-USD,2022-02-11,126.68367767333984,0.0,0,0,0
25263,LTC-USD,2022-02-12,126.20421600341797,0.0,0,0,0
25264,LTC-USD,2022-02-13,124.80005645751953,0.0,0,0,0
25265,LTC-USD,2022-02-14,131.7626190185547,0.0,0,0,0
25266,LTC-USD,2022-02-15,128.1608428955078,0.0,0,0,0
25267,LTC-USD,2022-02-16,116.30241394042969,0.0,0,0,0
25268,LTC-USD,2022-02-17,115.19709014892578,0.0,0,0,0
25269,LTC-USD,2022-02-18,115.7090072631836,0.0,0,0,0
25270,LTC-USD,2022-02-19,110.83203887939453,0.0,0,0,0
25271,LTC-USD,2022-02-20,103.45049285888672,0.0,0,0,0
25272,LTC-USD,2022-02-21,107.52279663085938,0.0,0,0,0
25273,LTC-USD,2022-02-22,105.96595001220703,0.0,0,0,0
25274,LTC-USD,2022-02-23,104.2304916381836,0.0,0,0,0
25275,LTC-USD,2022-02-24,109.26631164550781,0.0,0,0,0
25276,LTC-USD,2022-02-25,108.24365997314453,0.0,0,0,0
25277,LTC-USD,2022-02-26,103.10559844970703,0.0,0,0,0
25278,LTC-USD,2022-02-27,113.47457885742188,0.0,0,0,0
25279,LTC-USD,2022-02-28,112.5440444946289,0.0,0,0,0
25280,LTC-USD,2022-03-01,110.35135650634766,0.0,0,0,0
25281,LTC-USD,2022-03-02,111.35211944580078,0.0,0,0,0
25282,LTC-USD,2022-03-03,101.39179992675781,0.0,0,0,0
25283,LTC-USD,2022-03-04,104.97718811035156,0.0,0,0,0
25284,LTC-USD,2022-03-05,101.59391784667969,0.0,0,0,0
25285,LTC-USD,2022-03-06,98.8692626953125,0.0,0,0,0
25286,LTC-USD,2022-03-07,100.61764526367188,0.0,0,0,0
25287,LTC-USD,2022-03-08,106.94209289550781,0.0,0,0,0
25288,LTC-USD,2022-03-09,102.65550994873047,0.0,0,0,0
25289,LTC-USD,2022-03-10,104.9653549194336,0.0,0,0,0
25290,LTC-USD,2022-03-11,105.8323974609375,0.0,0,0,0
25291,LTC-USD,2022-03-12,102.11479949951172,0.0,0,0,0
25292,LTC-USD,2022-03-13,105.67365264892578,0.0,0,0,0
25293,LTC-USD,2022-03-14,106.98857116699219,0.0,0,0,0
25294,LTC-USD,2022-03-15,111.35919189453125,0.0,0,0,0
25295,LTC-USD,2022-03-16,110.31023406982422,0.0,0,0,0
25296,LTC-USD,2022-03-17,112.1158676147461,0.0,0,0,0
25297,LTC-USD,2022-03-18,116.3732681274414,0.0,0,0,0
25298,LTC-USD,2022-03-19,114.82913970947266,0.0,0,0,0
25299,LTC-USD,2022-03-20,116.15872955322266,0.0,0,0,0
25300,LTC-USD,2022-03-21,122.92796325683594,0.0,0,0,0
25301,LTC-USD,2022-03-22,122.47541809082031,0.0,0,0,0
25302,LTC-USD,2022-03-23,126.5812759399414,0.0,0,0,0
25303,LTC-USD,2022-03-24,124.06736755371094,0.0,0,0,0
25304,LTC-USD,2022-03-25,124.88133239746094,0.0,0,0,0
25305,LTC-USD,2022-03-26,129.39747619628906,0.0,0,0,0
25306,LTC-USD,2022-03-27,127.93861389160156,0.0,0,0,0
25307,LTC-USD,2022-03-28,130.0612335205078,0.0,0,0,0
25308,LTC-USD,2022-03-29,131.16934204101562,0.0,0,0,0
25309,LTC-USD,2022-03-30,123.71601104736328,0.0,0,0,0
25310,LTC-USD,2022-03-31,124.8831787109375,0.0,0,0,0
25311,LTC-USD,2022-04-01,124.9234848022461,0.0,0,0,0
25312,LTC-USD,2022-04-02,128.9462127685547,0.0,0,0,0
25313,LTC-USD,2022-04-03,124.86170196533203,0.0,0,0,0
25314,LTC-USD,2022-04-04,123.21317291259766,0.0,0,0,0
25315,LTC-USD,2022-04-05,112.46133422851562,0.0,0,0,0
25316,LTC-USD,2022-04-06,114.23019409179688,0.0,0,0,0
25317,LTC-USD,2022-04-07,110.88206481933594,0.0,0,0,0
25318,LTC-USD,2022-04-08,112.77727508544922,0.0,0,0,0
25319,LTC-USD,2022-04-09,111.17377471923828,0.0,0,0,0
25320,LTC-USD,2022-04-10,102.60739135742188,0.0,0,0,0
25321,LTC-USD,2022-04-11,104.82841491699219,0.0,0,0,0
25322,LTC-USD,2022-04-12,110.48245239257812,0.0,0,0,0
25323,LTC-USD,2022-04-13,107.41104125976562,0.0,0,0,0
25324,LTC-USD,2022-04-14,111.10934448242188,0.0,0,0,0
25325,LTC-USD,2022-04-15,114.43070983886719,0.0,0,0,0
25326,LTC-USD,2022-04-16,109.04278564453125,0.0,0,0,0
25327,LTC-USD,2022-04-17,111.22614288330078,0.0,0,0,0
25328,LTC-USD,2022-04-18,113.81208801269531,0.0,0,0,0
25329,LTC-USD,2022-04-19,111.97969055175781,0.0,0,0,0
25330,LTC-USD,2022-04-20,106.99798583984375,0.0,0,0,0
25331,LTC-USD,2022-04-21,105.60062408447266,0.0,0,0,0
25332,LTC-USD,2022-04-22,105.5043716430664,0.0,0,0,0
25333,LTC-USD,2022-04-23,104.62260437011719,0.0,0,0,0
25334,LTC-USD,2022-04-24,104.68701934814453,0.0,0,0,0
25335,LTC-USD,2022-04-25,98.40467834472656,0.0,0,0,0
25336,LTC-USD,2022-04-26,100.53875732421875,0.0,0,0,0
25337,LTC-USD,2022-04-27,103.32334899902344,0.0,0,0,0
25338,LTC-USD,2022-04-28,100.37800598144531,0.0,0,0,0
25339,LTC-USD,2022-04-29,96.16598510742188,0.0,0,0,0
25340,LTC-USD,2022-04-30,99.43577575683594,0.0,0,0,0
25341,LTC-USD,2022-05-01,100.69322967529297,0.0,0,0,0
25342,LTC-USD,2022-05-02,99.343017578125,0.0,0,0,0
25343,LTC-USD,2022-05-03,106.27486419677734,0.0,0,0,0
25344,LTC-USD,2022-05-04,96.91891479492188,0.0,0,0,0
25345,LTC-USD,2022-05-05,96.79175567626953,0.0,0,0,0
25346,LTC-USD,2022-05-06,94.5708999633789,0.0,0,0,0
25347,LTC-USD,2022-05-07,93.97643280029297,0.0,0,0,0
25348,LTC-USD,2022-05-08,77.9571533203125,0.0,0,0,0
25349,LTC-USD,2022-05-09,80.2268295288086,0.0,0,0,0
25350,LTC-USD,2022-05-10,66.38880157470703,0.0,0,0,0
25351,LTC-USD,2022-05-11,64.40274810791016,0.0,0,0,0
25352,LTC-USD,2022-05-12,67.96253967285156,0.0,0,0,0
25353,LTC-USD,2022-05-13,68.95030975341797,0.0,0,0,0
25354,LTC-USD,2022-05-14,71.5303726196289,0.0,0,0,0
25355,LTC-USD,2022-05-15,67.21134948730469,0.0,0,0,0
25356,LTC-USD,2022-05-16,72.96931457519531,0.0,0,0,0
25357,LTC-USD,2022-05-17,66.41563415527344,0.0,0,0,0
25358,LTC-USD,2022-05-18,72.0966796875,0.0,0,0,0
25359,LTC-USD,2022-05-19,68.65829467773438,0.0,0,0,0
25360,LTC-USD,2022-05-20,69.7057876586914,0.0,0,0,0
25361,LTC-USD,2022-05-21,71.77400207519531,0.0,0,0,0
25362,LTC-USD,2022-05-22,69.01275634765625,0.0,0,0,0
25363,LTC-USD,2022-05-23,70.32154846191406,0.0,0,0,0
25364,LTC-USD,2022-05-24,68.31311798095703,0.0,0,0,0
25365,LTC-USD,2022-05-25,63.8281364440918,0.0,0,0,0
25366,LTC-USD,2022-05-26,61.56392288208008,0.0,0,0,0
25367,LTC-USD,2022-05-27,62.31327819824219,0.0,0,0,0
25368,LTC-USD,2022-05-28,63.74662780761719,0.0,0,0,0
25369,LTC-USD,2022-05-29,69.12091827392578,0.0,0,0,0
25370,LTC-USD,2022-05-30,68.41138458251953,0.0,0,0,0
25371,LTC-USD,2022-05-31,62.96781921386719,0.0,0,0,0
25372,LTC-USD,2022-06-01,64.45135498046875,0.0,0,0,0
25373,LTC-USD,2022-06-02,62.659263610839844,0.0,0,0,0
25374,LTC-USD,2022-06-03,63.74738311767578,0.0,0,0,0
25375,LTC-USD,2022-06-04,63.2078742980957,0.0,0,0,0
25376,LTC-USD,2022-06-05,64.41727447509766,0.0,0,0,0
25377,LTC-USD,2022-06-06,63.90550994873047,0.0,0,0,0
25378,LTC-USD,2022-06-07,61.54667663574219,0.0,0,0,0
25379,LTC-USD,2022-06-08,60.215972900390625,0.0,0,0,0
25380,LTC-USD,2022-06-09,56.658416748046875,0.0,0,0,0
25381,LTC-USD,2022-06-10,52.29166030883789,0.0,0,0,0
25382,LTC-USD,2022-06-11,48.228904724121094,0.0,0,0,0
25383,LTC-USD,2022-06-12,43.30030059814453,0.0,0,0,0
25384,LTC-USD,2022-06-13,46.132015228271484,0.0,0,0,0
25385,LTC-USD,2022-06-14,50.49177169799805,0.0,0,0,0
25386,LTC-USD,2022-06-15,44.6997184753418,0.0,0,0,0
25387,LTC-USD,2022-06-16,47.684913635253906,0.0,0,0,0
25388,LTC-USD,2022-06-17,47.247257232666016,0.0,0,0,0
25389,LTC-USD,2022-06-18,54.32316589355469,0.0,0,0,0
25390,LTC-USD,2022-06-19,52.90559387207031,0.0,0,0,0
25391,LTC-USD,2022-06-20,53.5076789855957,0.0,0,0,0
25392,LTC-USD,2022-06-21,52.10539245605469,0.0,0,0,0
25393,LTC-USD,2022-06-22,55.76283264160156,0.0,0,0,0
25394,LTC-USD,2022-06-23,55.99228286743164,0.0,0,0,0
25395,LTC-USD,2022-06-24,58.96992874145508,0.0,0,0,0
25396,LTC-USD,2022-06-25,56.87614440917969,0.0,0,0,0
25397,LTC-USD,2022-06-26,55.92555618286133,0.0,0,0,0
