,Symbol,Date,Close,rf_pb_20P_30d,lr_pb_10N_30d,Xv_pb_20N_30d,rf_pb_10P_30d,rf_pb_15N_15d,rf_pb_15N_30d,Xv_pb_10N_15d,lr_pb_10N_15d,rf_pb_10N_30d,Xv_pb_10N_30d,rf_pb_20N_30d,rf_pb_10P_15d,lr_pb_10P_30d,Xv_pb_15N_30d,rf_pb_15P_30d,Xv_pb_10P_30d,rf_pb_10N_15d,rf_pb_25N_30d,lr_pb_15N_30d,Xv_pb_15P_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
3853,ADS-USD,2024-08-05,0.2267000824213028,0.47273893345216883,0.9189622588956711,0.45451945,0.44632159609993594,0.5704566442544384,0.5471515845265845,0.5219343,0.8319511012706238,0.4904520202020205,0.9393248,0.5077081224588962,0.4195817638944881,0.24038927535911025,0.8423361,0.4700456237670736,0.2028869,0.5378279518325958,0.5695465952019396,0.8831898007441795,0.38975856,0.37349781647034286,0.4195817638944881,0,0.6842146240349252,0.6092075263485363,0
11083,ALPINE-USD,2024-08-05,1.0353728532791138,0.40518508319166224,0.8746644306862928,0.62027895,0.4209482207263619,0.614789669938615,0.5716036680710593,0.79017895,0.7777010188094217,0.5139670560920563,0.8639226,0.5066987801929751,0.3909434781071665,0.16031462519856604,0.9013444,0.4539404817404818,0.06498201,0.5235845774595775,0.5912206747500862,0.834397719992861,0.17412186,0.2858716598186757,0.3909434781071665,0,0.6952677002054911,0.6694194665923376,0
6715,AIEPK-USD,2024-08-05,0.003928580787032843,0.4280537167081287,0.8599775716930939,0.8354214,0.4662158765891642,0.6049379423680894,0.5909098650355044,0.72802484,0.799480913726794,0.5308664320830221,0.97446525,0.49811307698149787,0.41494974290836484,0.33551582115618533,0.9496858,0.4049268561032331,0.009116613,0.5048642612833789,0.5663746819543685,0.7974881639806123,0.026547905,0.2826734109021428,0.41494974290836484,0,0.7307825639102437,0.651304155305099,0
12292,AMPL-USD,2024-08-05,0.938445508480072,0.3519341594806674,0.7504946319978838,0.45613346,0.31226115689865686,0.5930068451753593,0.5498188290467703,0.7233175,0.7614789834783487,0.5149249805749805,0.93368065,0.5912517898767898,0.34626219344903153,0.3978146470088848,0.9033697,0.33182213119940507,0.0555936,0.5485457967957967,0.5319644967605492,0.6690188986482832,0.38423917,0.3013895356617262,0.34626219344903153,0,0.659760460126279,0.651279570158525,0
16763,ARPA-USD,2024-08-05,0.03273718059062958,0.45930140692640714,0.8336861964146345,0.6719409,0.44917189279518044,0.5946465532017001,0.6125382644139039,0.6806302,0.756454973243978,0.5501842308018781,0.9593419,0.49520833956205446,0.3891538106414573,0.32461206204926557,0.9549243,0.428847724450572,0.00851842,0.575895896315014,0.5556520799949244,0.7774703251897702,0.063378856,0.292546874787073,0.3891538106414573,0,0.71337005320992,0.6478349240369814,0
9068,ALEPH-USD,2024-08-05,0.12542207539081573,0.39774706758705386,0.8315012123682279,0.60486853,0.38696981164260563,0.550568396880897,0.605435857701203,0.72876954,0.784955528960126,0.548293116029697,0.9657858,0.5977494935619935,0.3227183557507821,0.25951845388718653,0.885736,0.31953946828119234,0.02325403,0.5421261050368194,0.598413333871151,0.7494864567174082,0.052058972,0.24307313133453584,0.3227183557507821,0,0.7110174671485983,0.6463560206800942,0
5954,AGLD-USD,2024-08-05,0.7161980271339417,0.37983831446331456,0.910967777968727,0.6054691,0.4269818313231244,0.573817492840351,0.5784357309357309,0.7151671,0.823053198525364,0.5274306203056205,0.91802746,0.5158906855098805,0.367022386868006,0.18933998727420515,0.904756,0.43766704135657636,0.069794305,0.5032958311754752,0.5767054739049359,0.871270422682687,0.17856245,0.28598032561053,0.367022386868006,0,0.7110751001534291,0.6458848241546077,0
13118,ANKR-USD,2024-08-05,0.024434737861156464,0.43261986624486637,0.9010831859081182,0.82023674,0.45741467778796546,0.6204266203567674,0.609119072494712,0.61273026,0.8250199116096241,0.5512895601130896,0.95958745,0.5353229520737258,0.39118677767442445,0.21404575867074013,0.9549243,0.41340304657942356,0.00851842,0.5479363003554181,0.5823313729242173,0.8529088890282638,0.063378856,0.2709981911936987,0.39118677767442445,0,0.7486947348789061,0.6446445717530048,0
10277,ALICE-USD,2024-08-05,0.8540006875991821,0.37072629126192974,0.8643182232885196,0.6311669,0.32229347180597173,0.5810379481303752,0.5525406488935901,0.7151671,0.7935846608784057,0.5065161700872227,0.901388,0.588961371961372,0.3390300290237978,0.27300694142731785,0.9216862,0.32516628704356093,0.094784066,0.5116654965404965,0.5178016011766011,0.7930241927409837,0.36870944,0.2911564181120406,0.3390300290237978,0,0.6967263952201135,0.6431926464768999,0
15574,ARB-USD,2024-08-05,0.001125721144489944,0.44077762515262525,0.9401501375222768,0.81169146,0.4835247563399044,0.6007662806964277,0.5538373542129935,0.6388291,0.871008834113493,0.5112163599329501,0.9855473,0.46195927000416165,0.4030181467267686,0.16438121113448514,0.9651442,0.46090593258230955,0.002913961,0.49276902318814103,0.5649644898073342,0.9057936414798072,0.021730743,0.27080298766947064,0.4030181467267686,0,0.7398918954097599,0.641175396222146,0
