,Symbol,Date,Close,rf_pb_15N_30d,lr_pb_10N_30d,Xv_pb_10P_30d,rf_pb_20N_30d,rf_pb_10N_15d,rf_pb_10P_30d,Xv_pb_10N_30d,rf_pb_10N_30d,Xv_pb_15N_30d,rf_pb_15P_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
707493,SUIP-USD,2024-08-03,0.027857409790158272,0.442885723710414,0.8359870920570958,0.0085531045,0.355873817118554,0.4490850244383527,0.375331677454965,0.9751475,0.4105554864926648,0.91411835,0.33097666532813586,0.24342436096976255,0,0,0.6492754229164228,0.4490850244383527,0
22348,AI-USD,2024-08-03,0.058442533016204834,0.4096785436785437,0.7157414958635361,0.04935836,0.4361212192090673,0.44925935565409264,0.3234601281071869,0.8998507,0.4677110831135975,0.79841006,0.331062731782397,0.2380331200765869,0,0,0.6170876706272974,0.44925935565409264,0
830964,WLD-USD,2024-08-03,1.6488535404205322,0.5843963124116575,0.4741490047640502,0.010405442,0.5428863081363081,0.4500511678603785,0.3545932250221043,0.9800888,0.5753109592436594,0.94842803,0.2007566489763143,0.19459854695053014,0,0,0.6834485303011085,0.4500511678603785,0
875881,XTZ-USD,2024-08-03,0.6587159633636475,0.5090947251100704,0.5863587701876233,0.002999338,0.48975907546186187,0.4513432572186442,0.36477464896214895,0.9596365,0.5021146049443638,0.91982085,0.2862600899797552,0.22344798358056583,0,0,0.6577982838696464,0.4513432572186442,0
610026,PSTAKE-USD,2024-08-03,0.09066265821456909,0.5201384726384726,0.8922412104485946,0.06483651,0.5114538517038517,0.4516365479062848,0.33575522247200035,0.9451422,0.5505950874163323,0.78787297,0.3230665751612403,0.24480065289193437,0,0,0.6974419260863624,0.4516365479062848,0
840284,XAVA-USD,2024-08-03,0.41001421213150024,0.48632055483590003,0.7076521763445993,0.0085531045,0.47712501507780153,0.4470533518625625,0.36575850418738354,0.9806238,0.4822110313937315,0.8891345,0.28001008997975524,0.22356260760622226,0,0,0.6659618982909279,0.4470533518625625,0
685510,SNX-USD,2024-08-03,1.3901335000991821,0.6015391695545147,0.5589724066596632,0.0058783703,0.5011719391719393,0.4468718286472157,0.36208472777222783,0.9596365,0.5464068127365717,0.91000885,0.2096973749170402,0.19870441819142712,0,0,0.6783944511781901,0.4468718286472157,0
735688,TIA-USD,2024-08-03,0.00518109230324626,0.45453046055251933,0.6805276070802656,0.0085531045,0.3389025383972753,0.4451875885409167,0.3682835914085914,0.94483626,0.4423452857456993,0.91411835,0.33324653924506864,0.24164293040516566,0,0,0.6254149573180637,0.4451875885409167,0
670196,SHIB-USD,2024-08-03,1.3542269698518794e-05,0.45795909151907593,0.37722654159651714,0.0044195177,0.3841419919262025,0.4447880927890113,0.3905381376614253,0.9402344,0.3671713012334795,0.91294265,0.3641809328442455,0.2582381457940481,0,0,0.5698238366999017,0.4447880927890113,0
659305,SCA-USD,2024-08-03,0.022015586495399475,0.45795909151907593,0.10472367428905663,0.0044195177,0.3841419919262025,0.4447880927890113,0.3905381376614253,0.9402344,0.3671713012334795,0.91294265,0.3641809328442455,0.2582381457940481,0,0,0.527270507909699,0.4447880927890113,0
710096,SUN-USD,2024-08-03,0.009601679630577564,0.45795909151907593,0.12134889334776845,0.0044195177,0.3841419919262025,0.4447880927890113,0.3905381376614253,0.9402344,0.3671713012334795,0.91294265,0.3641809328442455,0.2582381457940481,0,0,0.5298666582541146,0.4447880927890113,0
714964,SUTER-USD,2024-08-03,0.00022421104949899018,0.42145874876757233,0.8862949605483897,0.008381801,0.4329076750734646,0.44475796669217726,0.25762034928234673,0.9806238,0.4765404144289969,0.87060857,0.24221815968782498,0.17274103413598108,0,0,0.672041085876953,0.44475796669217726,0
853611,XEC-USD,2024-08-03,3.3378120861016214e-05,0.46434913207707323,0.9236482894847314,0.008381801,0.37609193233666915,0.4441304789838072,0.3806315458871864,0.9751475,0.4303179182719033,0.8992944,0.3378599903364609,0.2474810933901453,0,0,0.6712880666599985,0.4441304789838072,0
813371,VRTX-USD,2024-08-03,0.10142870247364044,0.4583043385922643,0.04505842340041452,0.0085531045,0.3902572392519761,0.44186314909147734,0.3495112942612941,0.98571557,0.3755010577772453,0.93738407,0.33804847053531256,0.2364967843772494,0,0,0.5321634738109984,0.44186314909147734,0
572941,OVR-USD,2024-08-03,0.16200099885463715,0.4982667463255698,0.3929049732412392,0.008316447,0.4640363300442249,0.44168520611941675,0.25979437923187926,0.9765772,0.4507520190008955,0.8891345,0.24900467872434398,0.17568556340343533,0,0,0.6101145913077041,0.44168520611941675,0
70706,AURY-USD,2024-08-03,0.3052862882614136,0.4874316659470111,0.7819075345289198,0.0085531045,0.4681346927925876,0.4412755740847847,0.34890269333157264,0.9806238,0.4886973653212419,0.8891345,0.27831092803059326,0.21700210380104906,0,0,0.6776669194621431,0.4412755740847847,0
719066,SWFTC-USD,2024-08-03,0.003207719884812832,0.3954636433398043,0.04300100036162192,0.006055688,0.3623551311261838,0.44032126042458863,0.37587143412143403,0.96735686,0.3479051164378829,0.8806083,0.3217323144691565,0.2398329820502515,0,0,0.4995199843905135,0.44032126042458863,0
865178,XNO-USD,2024-08-03,0.7533783316612244,0.49187611039145557,0.6895716100152189,0.002999338,0.4886686646686647,0.4401922407514513,0.3849536701325495,0.9596365,0.5015162261989263,0.91982085,0.30659342331308853,0.2372071590660243,0,0,0.6706452212424492,0.4401922407514513,0
24784,AITECH-USD,2024-08-03,0.08717336505651474,0.5102340681764055,0.6406922928964928,0.0044195177,0.39485994064415125,0.4400911230920416,0.42193632280961046,0.9402344,0.3695363805985588,0.91294265,0.3759017120650247,0.2732196885316186,0,0,0.6221092733530633,0.4400911230920416,0
