,Symbol,Date,Close,Xv_pb_10N_30d,lr_pb_10P_30d,rf_pb_20P_30d,rf_pb_15P_30d,rf_pb_15N_30d,Xv_pb_15P_30d,rf_pb_10P_15d,Xv_pb_10P_30d,Xv_pb_15N_30d,lr_pb_10N_15d,rf_pb_10N_30d,rf_pb_10N_15d,Xv_pb_20N_30d,lr_pb_10N_30d,rf_pb_25N_30d,lr_pb_15N_30d,rf_pb_15N_15d,Xv_pb_10N_15d,rf_pb_10P_30d,rf_pb_20N_30d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
41864,AUDIO-USD,2024-07-10,0.12670299410820007,0.9840237,0.4686753891553397,0.34043334033604694,0.2167175214371867,0.4366108744196978,0.007304427,0.30499078175319894,0.014439768,0.8477629,0.4379615342991525,0.4373693265299677,0.40495216138637197,0.88416654,0.5507343265292722,0.566326237488002,0.3820901516776532,0.5766227591852593,0.6437221,0.26687094729982663,0.4213873357636516,0.21523217706982709,0.30499078175319894,0,0.6093475760156702,0.5115638711867663,0
203,1CAT-USD,2024-07-10,0.002308000111952424,0.98230076,0.5152986910049393,0.4774441971427267,0.36932687520178165,0.43026473685413313,0.007304427,0.3649426588048362,0.014439768,0.88082016,0.48036792249697163,0.3901003999125782,0.4194681413214695,0.88416654,0.601866249607506,0.47992480726765174,0.44118926184720686,0.46733679351694063,0.686429,0.39015593652922415,0.3574168574115943,0.29397209025598603,0.3649426588048362,0,0.6022391186529183,0.5108410019171915,0
16388,AKRO-USD,2024-07-10,0.004790999926626682,0.98230076,0.8218587012097602,0.5031898681383977,0.3246433319948025,0.442885723710414,0.007304427,0.39435365583537313,0.014439768,0.88082016,0.2881905498480904,0.4105554864926648,0.4490850244383527,0.88416654,0.22112802091291692,0.48470083679368126,0.14793507698935615,0.4731621903423375,0.7606221,0.375331677454965,0.355873817118554,0.33241970985824,0.39435365583537313,0,0.5354496997153935,0.49490874112330113,0
139628,DPET-USD,2024-07-10,0.04396599903702736,0.9840237,0.3207174130103294,0.314022140424847,0.2163668165864819,0.3734265587353823,0.007304427,0.34076224313878223,0.014439768,0.8477629,0.4794573797370584,0.4112815580892582,0.40870685114106176,0.88416654,0.6014755703687039,0.537964518797336,0.4501082994604289,0.45666352397602394,0.6437221,0.23526672877775817,0.39928862745441696,0.1832032617400657,0.34076224313878223,0,0.6052639910500499,0.49444110059272384,0
26141,ANALOS-USD,2024-07-10,3.9999998989515007e-05,0.98230076,0.532865935010429,0.4907396516881811,0.34687892096723366,0.4480742606636569,0.007304427,0.3956505142057609,0.014439768,0.88082016,0.30377507421004263,0.39885905792123616,0.4265850244383526,0.88416654,0.34560987611128674,0.4926748072676517,0.24096343257206596,0.47938441256455966,0.7606221,0.3847816996549872,0.3492392017339386,0.293715410212195,0.3956505142057609,0,0.5575651015464347,0.49341799451998725,0
102721,CREDI-USD,2024-07-10,0.01863900013267994,0.9582723,0.6832919237137158,0.36685279708702545,0.2949386891583544,0.397617036558213,0.007408664,0.48368604843252333,0.027568467,0.5165457,0.428338100859346,0.4016309965335108,0.4425698242980854,0.7951585,0.36793262061277004,0.5457032003943768,0.2597765649877951,0.5286422269251216,0.37853754,0.3118168383903678,0.4300502824660718,0.2754385531232065,0.48368604843252333,0,0.5181389060691693,0.44332522140433755,0
4541,ACH-USD,2024-07-10,0.022902999073266983,0.9635447,0.6643712748795815,0.3580403872746157,0.23988274510241037,0.39516636794577964,0.007408664,0.39961930961578446,0.0074827196,0.845832,0.4350555618312423,0.4097441554334344,0.43666596899777,0.87660056,0.4159168059657469,0.5425050615878787,0.3030217307736398,0.4874962121212121,0.46375355,0.26167873343976283,0.44743850535429497,0.24858541999568762,0.39961930961578446,0,0.57462483072432,0.45478589261786856,0
14567,AIOZ-USD,2024-07-10,0.39945900440216064,0.9658816,0.4853728159498212,0.4563162943740521,0.34013846160812683,0.4877435795236306,0.007408664,0.5102157015352884,0.010241258,0.73288167,0.44495873291993737,0.4701636019999399,0.44160357941279016,0.858263,0.5462205644340894,0.5560263347763348,0.3947770936442385,0.5356644952269951,0.40219587,0.4011953381867175,0.48358754111385693,0.2825763313956737,0.5102157015352884,0,0.6094807634743276,0.45437240788329347,0
55808,BEAT-USD,2024-07-10,0.004991999827325344,0.9840237,0.5303545677007394,0.2966464050491117,0.18664032085998616,0.34827143608025957,0.007304427,0.3033241150865323,0.014439768,0.8477629,0.33546566664070815,0.41316099319663435,0.38280208923629977,0.88416654,0.4267561932583427,0.5139685951303598,0.2853623771067898,0.4578994824619824,0.6437221,0.2577598361887155,0.4000540024303183,0.21038202250901084,0.3033241150865323,0,0.5645346462947739,0.4540403052054755,0
169064,FCON-USD,2024-07-10,0.000195999993593432,0.9635447,0.6213470340709427,0.36918649117071956,0.2129340271536924,0.3872298600092716,0.007408664,0.4031598672901697,0.0074827196,0.845832,0.43275281729478643,0.38815054071481975,0.43166596899777,0.87660056,0.4702517323245035,0.5497688533516706,0.32695956629331097,0.48737919025419024,0.46375355,0.2709690101565102,0.43811383149014743,0.2411311790846933,0.4031598672901697,0,0.5787205779360034,0.45277883894532744,0
91599,CHMB-USD,2024-07-10,0.00017299999308306724,0.9840237,0.5368742156607399,0.2966464050491117,0.18664032085998616,0.34827143608025957,0.007304427,0.3033241150865323,0.014439768,0.8477629,0.3249758948873966,0.41316099319663435,0.38280208923629977,0.88416654,0.4027330058281811,0.5139685951303598,0.2701181194757446,0.4578994824619824,0.6437221,0.2577598361887155,0.4000540024303183,0.21133900699914004,0.3033241150865323,0,0.5603445359743843,0.4516233085488952,0
100817,CPOOL-USD,2024-07-10,0.12050800025463104,0.9658816,0.7688138676940729,0.39328641902064737,0.30912661234627753,0.42796183228536167,0.007408664,0.4614136819101568,0.010241258,0.73288167,0.3651207138282365,0.43004058110099025,0.45707748051169117,0.858263,0.2874251508260142,0.5696814574314574,0.18887350317966156,0.5774403940357887,0.40219587,0.3260860006007064,0.4363013369671264,0.29438679206644736,0.4614136819101568,0,0.5433563875958657,0.4501338240202719,0
