,Symbol,Date,Close,rf_pb_25N_30d,Xv_pb_10N_30d,rf_pb_10N_30d,lr_pb_10N_30d,rf_pb_10N_15d,rf_pb_15N_30d,rf_pb_15N_15d,Xv_pb_15N_30d,rf_pb_20P_30d,rf_pb_10P_15d,lr_pb_15N_30d,rf_pb_20N_30d,Xv_pb_20N_30d,lr_pb_10P_30d,lr_pb_10N_15d,Xv_pb_15P_30d,rf_pb_10P_30d,rf_pb_15P_30d,Xv_pb_10P_30d,Xv_pb_10N_15d,score_P_30d,score_P_15d,score_P_7d,score_N_30d,score_N_15d,score_N_7d
446624,STX-USD,2024-08-06,0.005385005846619606,0.4926748072676517,0.98230076,0.39885905792123616,0.3320783103806291,0.4265850244383526,0.4480742606636569,0.47938441256455966,0.88082016,0.4907396516881811,0.3956505142057609,0.24648330639568725,0.3492392017339386,0.88416654,0.4838616906323653,0.2495824357096129,0.007304427,0.3847816996549872,0.34687892096723366,0.014439768,0.7606221,0.28652233750213024,0.3956505142057609,0,0.5565908653497484,0.4809312189115999,0
413651,SAND-USD,2024-08-06,0.245127335190773,0.5989654622982794,0.9840237,0.46746241073334616,0.2628202193776486,0.46281944769483474,0.5046502806656259,0.5955048215673218,0.8477629,0.3860401893693666,0.37103617462889427,0.1762283338511903,0.45791838132627627,0.88416654,0.4909470416037903,0.21564450805359978,0.007304427,0.3215981310356311,0.2728062660259312,0.014439768,0.6437221,0.2459847526884684,0.37103617462889427,0,0.576406857778109,0.48148455217073616,0
5231,ACQ-USD,2024-08-06,0.006801026873290539,0.5380363913692086,0.9840237,0.4060371497198498,0.6142614203542943,0.40236846730267783,0.36549005079887437,0.467978126040626,0.8477629,0.3168323857350923,0.3547449769376966,0.45884384575160087,0.3962139535902695,0.88416654,0.275136099381672,0.42070653744295233,0.007304427,0.25805700549450555,0.18630698752665287,0.014439768,0.6437221,0.1761099187132275,0.3547449769376966,0,0.6055106521008273,0.4816862134536154,0
466956,TLM-USD,2024-08-06,0.008671804331243038,0.49840907300191745,0.98230076,0.40266064522282347,0.2799009325616969,0.43044866080198896,0.45032426066365694,0.4782733014534486,0.88082016,0.5047955957441251,0.3714437051773614,0.1927744475104399,0.3501879196826566,0.88416654,0.6469837752713137,0.2499270517310708,0.007304427,0.37690624177952936,0.351207925296238,0.014439768,0.7606221,0.3119270891631007,0.3714437051773614,0,0.5468974998624041,0.4818733559850509,0
411753,RVN-USD,2024-08-06,0.015236064791679382,0.47992480726765174,0.98230076,0.3901003999125782,0.5792764184476715,0.4194681413214695,0.43026473685413313,0.46733679351694063,0.88082016,0.4774441971427267,0.3649426588048362,0.4481256366420509,0.3574168574115943,0.88416654,0.2689507976007145,0.35546606501367367,0.007304427,0.39015593652922415,0.36932687520178165,0.014439768,0.686429,0.25781199164173046,0.3649426588048362,0,0.6003888450275352,0.4820617892672604,0
395928,RAY-USD,2024-08-06,1.6142396926879883,0.46432162408538125,0.8480762,0.49473437373934814,0.13287583456888633,0.5173688861423776,0.5134925624484449,0.5080069930069929,0.9259947,0.40019389106241043,0.420855262221134,0.09846629690047869,0.4933211461740874,0.6959761,0.8120023596190157,0.1861019699550561,0.007033965,0.4684576795753266,0.42372104795789006,0.046360165,0.6914623,0.3552962393719129,0.420855262221134,0,0.5248154642997134,0.4820818138441376,0
438857,SPOT-USD,2024-08-06,1.1453907489776611,0.5618243145743145,0.93006504,0.5206401532264912,0.3264876807436071,0.4597004963847071,0.507498406821936,0.5751550405004352,0.7878218,0.4394494669846839,0.5116601427188516,0.2412306534310139,0.48729001407948774,0.85913503,0.5447724357982192,0.3297993595517552,0.010231861,0.4104757219904279,0.3544889860836513,0.009946354,0.5629005,0.29329874550073765,0.5116601427188516,0,0.5818611409929938,0.48211259262028444,0
317156,MV-USD,2024-08-06,0.01845681108534336,0.5419548229548228,0.9970186,0.4705673648247179,0.2717182836983902,0.4775791577560154,0.4564002892532304,0.46602532720547446,0.88690084,0.48647322367175305,0.3623200035487961,0.2140389731238334,0.4381483325759962,0.9612049,0.7210437907859993,0.24842623691011426,0.0074257683,0.3977777516601046,0.3557701961437256,0.019159758,0.7202705,0.3255415057938797,0.3623200035487961,0,0.5813868198157577,0.48233885198758797,0
510341,VRA-USD,2024-08-06,0.002689872169867158,0.5139685951303598,0.9840237,0.41316099319663435,0.6741028239190824,0.38280208923629977,0.34827143608025957,0.4578994824619824,0.8477629,0.2966464050491117,0.3033241150865323,0.5050446973880203,0.4000540024303183,0.88416654,0.26989691548645367,0.4584311070866581,0.007304427,0.2577598361887155,0.18664032085998616,0.014439768,0.6437221,0.1721508273534182,0.3033241150865323,0,0.613839277468235,0.4823733390809697,0
449278,SUKU-USD,2024-08-06,0.05405590683221817,0.49840907300191745,0.98230076,0.40266064522282347,0.29317582720468593,0.43044866080198896,0.45032426066365694,0.4782733014534486,0.88082016,0.500073373521903,0.3714437051773614,0.1978261256449354,0.3501879196826566,0.88416654,0.5908809755455009,0.2521358983464985,0.007304427,0.37690624177952936,0.353238228326541,0.014439768,0.7606221,0.3032986801364772,0.3714437051773614,0,0.548881598952184,0.4823823065141891,0
