;Symbol;Date;Close;Models;Probability;model;percent_correct_entries;simulate_variation;reached_target
4185;MNW-USD;2024-08-24;0,4602232575416565;Xv_pb_20P_30d;0,9517647624015808;Xv_pb_20P_30d;0,13043478260869565;-0,025169004567388267;False
4146;COMBO-USD;2024-08-24;0,4626862704753876;Xv_pb_20P_30d;0,9517647624015808;Xv_pb_20P_30d;0,2018348623853211;-0,0014249393345233813;False
3846;MATIC-USD;2024-08-24;0,530460774898529;Xv_pb_20P_30d;0,9517049193382263;Xv_pb_20P_30d;0,2087912087912088;0,007703139497953089;False
3837;CREAM-USD;2024-08-24;22,68107795715332;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,39800995024875624;0,13966549768862785;False
3733;NMR-USD;2024-08-24;17,532855987548828;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,2436548223350254;0,021153706895437687;False
3843;QUICK-USD;2024-08-24;41,22231674194336;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,0;-0,12597167777256588;False
3833;METIS-USD;2024-08-24;39,61182403564453;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,15346534653465346;-0,09370741619146285;False
3830;KSM-USD;2024-08-24;22,255971908569336;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,12307692307692308;-0,07606480515725446;False
3841;ORDI-USD;2024-08-24;35,620113372802734;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,14720812182741116;-0,07076173768135641;False
3838;QNT-USD;2024-08-24;69,67109680175781;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,085;-0,06915338108151828;False
3836;EGLD-USD;2024-08-24;32,271583557128906;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,09137055837563451;-0,06580225732764909;False
3834;ILV-USD;2024-08-24;48,600467681884766;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,18627450980392157;-0,045691221447337456;False
3821;AVAX-USD;2024-08-24;27,52754783630371;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,15306122448979592;-0,03747240479408753;False
3829;SSV-USD;2024-08-24;25,72488021850586;Xv_pb_20P_30d;0,9516838788986206;Xv_pb_20P_30d;0,1507537688442211;-0,025116601970359954;False
5;MAHA-USD;2024-08-24;1,378655195236206;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,39072847682119205;0,13421714499448997;False
7;ORN-USD;2024-08-24;1,2996104955673218;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,29444444444444445;0,125604369173629;False
32;THETA-USD;2024-08-24;1,3989909887313843;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,18232044198895028;0,10297671590152864;False
15;AMPL-USD;2024-08-24;1,0847667455673218;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,3978494623655914;0,05628653187562973;False
39;FET-USD;2024-08-24;1,3783396482467651;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,15789473684210525;0,0530133447347718;False
8;ALICE-USD;2024-08-24;1,1826655864715576;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,27472527472527475;0,03476692846444656;False
42;PYUSD-USD;2024-08-24;1,0000120401382446;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,0;0,0002971874742061118;False
14;WEMIX-USD;2024-08-24;0,8950738310813904;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,1366120218579235;-0,12279573101880611;False
28;DYDX-USD;2024-08-24;1,1548219919204712;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,12290502793296089;-0,09269197309454473;False
4;ARKM-USD;2024-08-24;1,3365315198898315;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,17647058823529413;-0,09047450234277757;False
40;TON-USD;2024-08-24;1,163791298866272;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,13333333333333333;-0,08584751365276173;False
36;FTT-USD;2024-08-24;1,4844725131988525;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,14009661835748793;-0,07189014954130094;False
46;ALPINE-USD;2024-08-24;1,3689720630645752;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,08379888268156424;-0,06773021474849691;False
48;WAVES-USD;2024-08-24;1,15451180934906;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,24725274725274726;-0,06444333913062039;False
25;LQTY-USD;2024-08-24;1,0649207830429077;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,1787709497206704;-0,05284239191850862;False
50;ERG-USD;2024-08-24;0,8262141346931458;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,17032967032967034;-0,03112845414329538;False
12;MTL-USD;2024-08-24;1,0493144989013672;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,17032967032967034;-0,027648310346934584;False
1;NAKA-USD;2024-08-24;1,1210039854049683;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,2032967032967033;-0,02293266414779162;False
17;LSK-USD;2024-08-24;0,920965850353241;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,24022346368715083;-0,013486309408190667;False
9;BAND-USD;2024-08-24;1,255001187324524;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,3;-0,010889888143824362;False
29;AGLD-USD;2024-08-24;0,9302738904953003;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,25555555555555554;-0,00989894504686668;False
22;XNO-USD;2024-08-24;0,9970355033874512;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,15819209039548024;-0,005755817829215882;False
19;TWT-USD;2024-08-24;0,9668000340461731;Xv_pb_15P_30d;0,9511860609054565;Xv_pb_15P_30d;0,18435754189944134;-0,003926139359302305;False
607;SUN-USD;2024-08-24;0,036304377019405365;Xv_pb_15P_30d;0,9509506821632385;Xv_pb_15P_30d;0,24154589371980675;0,12238234955564033;False
401;EVER-USD;2024-08-24;0,057658642530441284;Xv_pb_15P_30d;0,9509506821632385;Xv_pb_15P_30d;0,25443786982248523;0,04114666096253745;False
3768;LPT-USD;2024-08-24;15,255571365356445;Xv_pb_20P_30d;0,950125515460968;Xv_pb_20P_30d;0,32075471698113206;0,0948217116084561;False
5078;AAVE-USD;2024-08-24;137,2998046875;Xv_pb_10P_30d;0,9491972923278809;Xv_pb_10P_30d;0,40487804878048783;0,0429353218734154;False
1240;BCH-USD;2024-08-24;358,9477844238281;Xv_pb_25P_30d;0,9488739967346191;Xv_pb_25P_30d;0,2222222222222222;0,10139577372567041;False
18;ORCA-USD;2024-08-24;2,200206756591797;Xv_pb_15P_30d;0,9482789039611816;Xv_pb_15P_30d;0,19672131147540983;-0,06701580344255093;False
49;SFUND-USD;2024-08-24;1,3453810214996338;Xv_pb_15P_30d;0,9473709464073181;Xv_pb_15P_30d;0,18681318681318682;-0,10074292877280261;False
3832;EOS-USD;2024-08-24;0,5423004031181335;Xv_pb_20P_30d;0,946045994758606;Xv_pb_20P_30d;0,0;-0,15017759732031694;False
3845;CELO-USD;2024-08-24;0,52232426404953;Xv_pb_20P_30d;0,946045994758606;Xv_pb_20P_30d;0,0;-0,13164905135029442;False
3826;SD-USD;2024-08-24;0,5279653668403625;Xv_pb_20P_30d;0,946045994758606;Xv_pb_20P_30d;0,03389830508474576;-0,07884263656073834;False
1850;BMX-USD;2024-08-24;0,35111889243125916;Xv_pb_25P_30d;0,9459812641143799;Xv_pb_25P_30d;0,18032786885245902;0,0826540156268152;False
614;LOCUS-USD;2024-08-24;0,025932392105460167;Xv_pb_15P_30d;0,9453319311141968;Xv_pb_15P_30d;0,23157894736842105;-0,04104794269727484;False
3769;PAXG-USD;2024-08-24;2514,214111328125;Xv_pb_20P_30d;0,945152223110199;Xv_pb_20P_30d;0,0;0,029696360555791362;False
4272;KAS-USD;2024-08-24;0,17111927270889282;Xv_pb_20P_30d;0,9440996050834656;Xv_pb_20P_30d;0,36619718309859156;0,17415138779240064;False
5550;LOCUS-USD;2024-08-24;0,025932392105460167;Xv_pb_10P_30d;0,9435310363769531;Xv_pb_10P_30d;0,2391304347826087;-0,03991398055580644;False
11;RIO-USD;2024-08-24;0,9591614007949829;Xv_pb_15P_30d;0,9429998397827148;Xv_pb_15P_30d;0,24431818181818182;0,012272915319605008;False
13;SPOT-USD;2024-08-24;1,145071029663086;Xv_pb_15P_30d;0,9429998397827148;Xv_pb_15P_30d;0,0;-0,025092611355145518;False
599;WEST-USD;2024-08-24;0,03151175379753113;Xv_pb_15P_30d;0,9427273869514465;Xv_pb_15P_30d;0,42857142857142855;0,09840250190526321;False
570;KAS-USD;2024-08-24;0,17111927270889282;Xv_pb_15P_30d;0,9419903755187988;Xv_pb_15P_30d;0,3415841584158416;0,10047983426013107;False
4184;KNC-USD;2024-08-24;0,4991517961025238;Xv_pb_20P_30d;0,9415596127510071;Xv_pb_20P_30d;0,17543859649122806;0,047492397618874777;False
4189;OSMO-USD;2024-08-24;0,45163199305534363;Xv_pb_20P_30d;0,9415596127510071;Xv_pb_20P_30d;0,0;-0,20096066350876104;False
4267;XAVA-USD;2024-08-24;0,47176891565322876;Xv_pb_20P_30d;0,9415596127510071;Xv_pb_20P_30d;0,038461538461538464;-0,17783367125818322;False
4149;DAO-USD;2024-08-24;0,35560137033462524;Xv_pb_20P_30d;0,9415596127510071;Xv_pb_20P_30d;0,07766990291262135;-0,16237413261465564;False
4302;MINA-USD;2024-08-24;0,5048072934150696;Xv_pb_20P_30d;0,9415596127510071;Xv_pb_20P_30d;0,0;-0,1291168416321885;False
