;simulation;Date;model;number_correct_entries;number_entries;percent_correct_entries;simulate_entry;simulate_return;simulate_variation
274;25;;Xv_pb_10N_30d;3;5;0,6;500;431,7404252847285;-0,13651914943054305
275;26;;Xv_pb_10N_30d;4;5;0,8;500;492,67772499314;-0,01464455001372005
276;27;;Xv_pb_10N_30d;1;5;0,2;500;505,75681775233033;0,01151363550466067
277;28;;Xv_pb_10N_30d;1;5;0,2;500;506,4020478086269;0,012804095617253779
278;29;;Xv_pb_10N_30d;1;5;0,2;500;580,517607684288;0,161035215368576
279;30;;Xv_pb_10N_30d;2;5;0,4;500;529,833878050913;0,059667756101825946
280;31;;Xv_pb_10N_30d;3;5;0,6;500;463,43623275238656;-0,07312753449522688
281;32;;Xv_pb_10N_30d;2;5;0,4;500;439,3734840031085;-0,121253031993783
282;33;;Xv_pb_10N_30d;1;5;0,2;500;531,646154573461;0,06329230914692198
283;34;;Xv_pb_10N_30d;2;5;0,4;500;617,3928014579078;0,23478560291581563
284;35;;Xv_pb_10N_30d;2;5;0,4;500;409,6096374237214;-0,18078072515255725
285;36;;Xv_pb_10N_30d;1;5;0,2;500;471,7652160383653;-0,05646956792326944
286;37;;Xv_pb_10N_30d;2;5;0,4;500;646,5425177031237;0,2930850354062475
287;38;;Xv_pb_10N_30d;1;5;0,2;500;546,1914348596299;0,09238286971925981
288;39;;Xv_pb_10N_30d;2;5;0,4;500;581,9041521334743;0,16380830426694865
289;40;;Xv_pb_10N_30d;3;5;0,6;500;472,394680533471;-0,05521063893305802
290;41;;Xv_pb_10N_30d;1;5;0,2;500;505,80047909344944;0,011600958186898878
291;42;;Xv_pb_10N_30d;2;5;0,4;500;546,3256352357589;0,09265127047151782
292;43;;Xv_pb_10N_30d;1;5;0,2;500;524,055953617949;0,04811190723589789
293;44;;Xv_pb_10N_30d;3;5;0,6;500;508,9485682853099;0,01789713657061975
294;45;;Xv_pb_10N_30d;2;5;0,4;500;471,5205175091354;-0,0569589649817292
295;46;;Xv_pb_10N_30d;1;5;0,2;500;594,0578027301246;0,1881156054602493
296;47;;Xv_pb_10N_30d;0;5;0,0;500;531,286166703738;0,06257233340747598
297;48;;Xv_pb_10N_30d;2;5;0,4;500;469,88542907104875;-0,060229141857902506
298;49;;Xv_pb_10N_30d;2;5;0,4;500;434,8633348421353;-0,13027333031572938
299;50;;Xv_pb_10N_30d;2;5;0,4;500;425,4429505776457;-0,14911409884470855
300;1;;rf_pb_15N_30d;3;5;0,6;500;381,707035656983;-0,23658592868603398
301;2;;rf_pb_15N_30d;3;5;0,6;500;401,51022600273484;-0,19697954799453032
302;3;;rf_pb_15N_30d;2;5;0,4;500;447,0112115346968;-0,10597757693060635
303;4;;rf_pb_15N_30d;3;5;0,6;500;505,9369601115755;0,011873920223151004
304;5;;rf_pb_15N_30d;1;5;0,2;500;709,3602939388485;0,41872058787769695
305;6;;rf_pb_15N_30d;1;5;0,2;500;480,100326959259;-0,03979934608148199
306;7;;rf_pb_15N_30d;4;5;0,8;500;384,9058967235434;-0,23018820655291325
